epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5014,1.33318,2.10366,1.09743,0.99413,0.09921,0.35059,0.21787,1.22049,2.62114,1.03402,0.000411932,0.000411932,0.000411932
2,70.3056,1.18683,1.26031,1.00869,0.94439,0.38734,0.46166,0.30354,1.10415,1.31853,0.99192,0.000808091,0.000808091,0.000808091
3,103.715,1.09749,1.13651,0.98257,0.9005,0.42607,0.48884,0.33375,1.0158,1.13004,0.96338,0.00118362,0.00118362,0.00118362
4,137.107,1.04911,1.05609,0.97094,0.89851,0.45035,0.49544,0.3257,0.99998,1.04086,0.94518,0.00115719,0.00115719,0.00115719
5,169.937,1.03405,1.00661,0.97213,0.93425,0.42789,0.50783,0.34501,0.94114,0.99004,0.94028,0.00112625,0.00112625,0.00112625
6,203.082,0.97945,0.92484,0.94542,0.9251,0.45515,0.54192,0.37084,0.92499,0.91618,0.93929,0.00109531,0.00109531,0.00109531
7,236.237,0.96365,0.86657,0.93875,0.92025,0.46531,0.56469,0.39163,0.88091,0.84355,0.92358,0.00106437,0.00106437,0.00106437
8,269.576,0.9399,0.83075,0.928,0.91301,0.44795,0.5405,0.38124,0.86484,0.82336,0.92274,0.00103344,0.00103344,0.00103344
9,302.605,0.90213,0.793,0.92248,0.91722,0.47034,0.57712,0.40849,0.86709,0.7639,0.91508,0.0010025,0.0010025,0.0010025
10,335.779,0.87092,0.75869,0.91163,0.79633,0.54198,0.60496,0.43422,0.87628,0.7809,0.9142,0.000971562,0.000971562,0.000971562
11,369.491,0.85536,0.73849,0.90179,0.92768,0.45812,0.59185,0.40872,0.85963,0.73539,0.91232,0.000940625,0.000940625,0.000940625
12,402.844,0.85039,0.71753,0.90785,0.7753,0.57042,0.63565,0.46119,0.79974,0.68711,0.89775,0.000909688,0.000909688,0.000909688
13,435.919,0.83461,0.70854,0.90418,0.74482,0.57141,0.6305,0.46195,0.81462,0.69759,0.89887,0.00087875,0.00087875,0.00087875
14,469.271,0.83842,0.69771,0.90276,0.80584,0.5637,0.64921,0.47979,0.80016,0.66573,0.89997,0.000847813,0.000847813,0.000847813
15,502.555,0.81949,0.6716,0.89958,0.9319,0.55781,0.65622,0.48994,0.76676,0.64833,0.89822,0.000816875,0.000816875,0.000816875
16,535.971,0.78539,0.64494,0.89252,0.71913,0.60217,0.64856,0.46605,0.78159,0.65561,0.89925,0.000785938,0.000785938,0.000785938
17,568.779,0.78949,0.64896,0.89295,0.74552,0.5726,0.64576,0.47307,0.74393,0.61828,0.89445,0.000755,0.000755,0.000755
18,602.057,0.77856,0.62971,0.88999,0.82555,0.53182,0.64531,0.47753,0.74445,0.6163,0.88692,0.000724062,0.000724062,0.000724062
19,635.106,0.78627,0.6302,0.88629,0.70631,0.61972,0.65292,0.46997,0.75378,0.62448,0.88716,0.000693125,0.000693125,0.000693125
20,668.501,0.75263,0.61858,0.8826,0.69763,0.6522,0.65996,0.49224,0.71186,0.58993,0.87646,0.000662188,0.000662188,0.000662188
21,701.445,0.73847,0.59224,0.8743,0.65553,0.70509,0.66433,0.50336,0.71061,0.58377,0.88462,0.00063125,0.00063125,0.00063125
22,734.85,0.73197,0.57887,0.87178,0.72888,0.59411,0.65716,0.49103,0.71568,0.57283,0.88258,0.000600313,0.000600313,0.000600313
23,768.212,0.7388,0.57938,0.87434,0.609,0.72051,0.65219,0.48617,0.71691,0.57323,0.88399,0.000569375,0.000569375,0.000569375
24,801.532,0.72638,0.57108,0.86822,0.73109,0.55591,0.64487,0.48874,0.72488,0.57589,0.88317,0.000538438,0.000538438,0.000538438
25,834.99,0.71535,0.56605,0.87193,0.69278,0.61843,0.64658,0.48898,0.70734,0.56514,0.88267,0.0005075,0.0005075,0.0005075
26,868.398,0.71168,0.56638,0.87457,0.6456,0.68525,0.66781,0.50423,0.69435,0.56301,0.87185,0.000476562,0.000476562,0.000476562
27,901.587,0.70289,0.55683,0.86936,0.72649,0.65038,0.66759,0.5107,0.67929,0.55122,0.87118,0.000445625,0.000445625,0.000445625
28,35.5427,0.69132,0.54323,0.86176,0.69954,0.6188,0.63235,0.48112,0.65438,0.54381,0.86188,0.000414688,0.000414688,0.000414688
29,70.2963,0.67979,0.52859,0.85188,0.68877,0.62966,0.64176,0.48364,0.65691,0.54078,0.86684,0.00038375,0.00038375,0.00038375
30,105.279,0.67083,0.52262,0.85998,0.66666,0.67732,0.64813,0.47833,0.6579,0.53308,0.86635,0.000352812,0.000352812,0.000352812
